,index,rk,player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches,year,player_year,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,playing_time_mp,playing_time_starts,playing_time_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,expected_xa,per_90_minutes_xg,per_90_minutes_xa,per_90_minutes_xg+xa,per_90_minutes_npxg,per_90_minutes_npxg+xa,competition
36,36,37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24.0,1995.0,25.7,1767.0,1929.0,91.6,36920.0,11998.0,8.0,25.0,32.0,1240.0,1304.0,95.1,519.0,600.0,86.5,1,0.8,0.2,3.0,103.0,2.0,0.0,87.0,Matches,2020,Manuel Akanji2020,0,10,2,20.0,0.39,0.08,0.0,0.0,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,29,25,2309,0,1,0,0,2,0,0.0,0.04,0.04,0.0,0.04,0.8,0.03,0.03,0.06,0.03,0.06,DE
37,37,38,Marley Aké,fr FRA,FWMF,Marseille,fr Ligue 1,18.0,2001.0,1.1,25.0,29.0,86.2,414.0,68.0,1.0,1.0,100.0,20.0,23.0,87.0,4.0,5.0,80.0,0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Matches,2020,Marley Aké2020,0,3,0,0.0,2.73,0.0,0.0,,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,9,0,99,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,FR
38,38,39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24.0,1995.0,27.8,1042.0,1183.0,88.1,21680.0,7019.0,9.0,20.0,45.0,725.0,787.0,92.1,308.0,376.0,81.9,2,0.5,1.5,4.0,67.0,10.0,0.0,61.0,Matches,2020,Nathan Aké2020,2,24,7,29.2,0.86,0.25,0.08,0.29,0.0,0,0,2.5,2.5,0.11,-0.5,-0.5,29,29,2503,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,0.5,0.09,0.02,0.11,0.09,0.11,ENG
39,39,40,Chadrac Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24.0,1995.0,6.0,172.0,206.0,83.5,2703.0,811.0,6.0,11.0,54.5,146.0,166.0,88.0,20.0,29.0,69.0,1,1.2,-0.2,5.0,15.0,2.0,0.0,27.0,Matches,2020,Chadrac Akolo2020,2,9,4,44.4,1.49,0.66,0.22,0.5,0.0,0,0,1.0,1.0,0.12,1.0,1.0,15,5,544,2,1,0,0,1,0,0.33,0.17,0.5,0.33,0.5,1.2,0.17,0.2,0.37,0.17,0.37,FR
40,40,41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24.0,1995.0,12.7,659.0,754.0,87.4,12650.0,3663.0,4.0,9.0,44.4,518.0,558.0,92.8,137.0,187.0,73.3,0,0.0,0.0,1.0,25.0,1.0,0.0,29.0,Matches,2020,Kevin Akpoguma2020,0,2,0,0.0,0.16,0.0,0.0,,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,18,12,1142,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,DE
41,41,42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27.0,1992.0,27.8,2250.0,2478.0,90.8,47127.0,15534.0,20.0,37.0,54.1,1573.0,1664.0,94.5,657.0,777.0,84.6,1,2.1,-1.1,18.0,294.0,24.0,7.0,240.0,Matches,2020,David Alaba2020,1,18,7,38.9,0.65,0.25,0.06,0.14,6.0,0,0,0.7,0.7,0.04,0.3,0.3,28,27,2498,1,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,2.1,0.03,0.07,0.1,0.03,0.1,DE
42,42,43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21.0,1998.0,15.6,664.0,811.0,81.9,11890.0,4858.0,5.0,28.0,17.9,546.0,615.0,88.8,113.0,168.0,67.3,0,1.1,-1.1,13.0,48.0,13.0,6.0,113.0,Matches,2020,Sofiane Alakouch2020,0,10,4,40.0,0.64,0.26,0.0,0.0,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,17,17,1400,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.1,0.04,0.07,0.11,0.04,0.11,FR
43,43,44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26.0,1992.0,13.0,227.0,308.0,73.7,3353.0,375.0,17.0,32.0,53.1,176.0,231.0,76.2,34.0,45.0,75.6,1,2.1,-1.1,15.0,6.0,9.0,0.0,13.0,Matches,2020,Lucas Alario2020,7,47,18,38.3,3.6,1.38,0.13,0.33,0.0,1,1,7.1,6.3,0.13,-0.1,-0.3,24,11,1174,7,1,1,1,6,0,0.54,0.08,0.61,0.46,0.54,2.1,0.54,0.16,0.7,0.49,0.64,DE
44,44,45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30.0,1989.0,24.3,1864.0,2141.0,87.1,30213.0,9511.0,35.0,86.0,40.7,1600.0,1742.0,91.8,229.0,313.0,73.2,5,3.3,1.7,28.0,126.0,38.0,18.0,177.0,Matches,2020,Jordi Alba2020,2,7,3,42.9,0.29,0.12,0.29,0.67,0.0,0,0,1.1,1.1,0.15,0.9,0.9,27,25,2187,2,5,0,0,7,0,0.08,0.21,0.29,0.08,0.29,3.3,0.04,0.14,0.18,0.04,0.18,ES
45,45,46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26.0,1992.0,34.6,1792.0,2263.0,79.2,33398.0,11824.0,40.0,88.0,45.5,1374.0,1558.0,88.2,378.0,617.0,61.3,15,10.8,4.2,108.0,255.0,97.0,5.0,376.0,Matches,2020,Luis Alberto2020,6,99,27,27.3,2.86,0.78,0.05,0.19,11.0,1,1,7.1,6.4,0.06,-1.1,-1.4,36,36,3113,6,15,1,1,5,0,0.17,0.43,0.61,0.14,0.58,10.8,0.21,0.31,0.52,0.18,0.5,IT
