,index,rk,player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xa,a-xa,kp,1/3,ppa,crspa,prog,matches,year,player_year,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,playing_time_mp,playing_time_starts,playing_time_min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,expected_xa,per_90_minutes_xg,per_90_minutes_xa,per_90_minutes_xg+xa,per_90_minutes_npxg,per_90_minutes_npxg+xa,competition
481,481,482,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,22.0,1997.0,23.0,1094.0,1365.0,80.1,19713.0,7584.0,23.0,61.0,37.7,867.0,992.0,87.4,204.0,312.0,65.4,2,1.8,0.2,17.0,89.0,27.0,11.0,200.0,Matches,2020,Zeki Çelik2020,0,5,1,20.0,0.22,0.04,0.0,0.0,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,23,23,2070,0,2,0,0,4,0,0.0,0.09,0.09,0.0,0.09,1.8,0.01,0.08,0.09,0.01,0.09,FR
482,482,483,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,23.0,1996.0,28.0,980.0,1297.0,75.6,17235.0,7580.0,18.0,57.0,31.6,790.0,935.0,84.5,172.0,305.0,56.4,3,2.3,0.7,21.0,56.0,25.0,17.0,156.0,Matches,2020,Fabien Centonze2020,0,9,3,33.3,0.32,0.11,0.0,0.0,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,28,28,2520,0,3,0,0,3,0,0.0,0.11,0.11,0.0,0.11,2.3,0.01,0.08,0.1,0.01,0.1,FR
483,483,484,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,29.0,1989.0,13.8,403.0,505.0,79.8,9983.0,3663.0,8.0,12.0,66.7,221.0,256.0,86.3,174.0,237.0,73.4,0,0.1,-0.1,2.0,21.0,3.0,1.0,16.0,Matches,2020,Luca Ceppitelli2020,2,5,2,40.0,0.36,0.14,0.4,1.0,0.0,0,0,0.4,0.4,0.09,1.6,1.6,16,15,1246,2,0,0,0,5,0,0.14,0.0,0.14,0.14,0.14,0.1,0.03,0.01,0.04,0.03,0.04,IT
484,484,485,Alberto Cerri,it ITA,FW,SPAL,it Serie A,23.0,1996.0,4.7,94.0,144.0,65.3,1456.0,243.0,2.0,8.0,25.0,78.0,109.0,71.6,14.0,27.0,51.9,0,0.8,-0.8,8.0,8.0,5.0,0.0,12.0,Matches,2020,Alberto Cerri2020,1,10,4,40.0,2.14,0.86,0.1,0.25,0.0,0,0,1.2,1.2,0.12,-0.2,-0.2,8,5,420,1,0,0,0,1,0,0.21,0.0,0.21,0.21,0.21,0.8,0.25,0.17,0.42,0.25,0.42,IT
485,485,486,Alberto Cerri,it ITA,FW,Cagliari,it Serie A,23.0,1996.0,2.7,70.0,103.0,68.0,1166.0,110.0,3.0,8.0,37.5,58.0,81.0,71.6,9.0,14.0,64.3,0,0.2,-0.2,3.0,3.0,2.0,0.0,4.0,Matches,2020,Alberto Cerri2020,1,7,3,42.9,2.58,1.11,0.14,0.33,0.0,0,0,0.6,0.6,0.08,0.4,0.4,11,1,244,1,0,0,0,1,0,0.37,0.0,0.37,0.37,0.37,0.2,0.22,0.06,0.27,0.22,0.27,IT
486,486,487,Julian Chabot,de GER,DF,Sampdoria,it Serie A,21.0,1998.0,6.3,205.0,238.0,86.1,4419.0,1377.0,6.0,11.0,54.5,139.0,149.0,93.3,60.0,78.0,76.9,0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,Matches,2020,Julian Chabot2020,1,1,1,100.0,0.16,0.16,1.0,1.0,0.0,0,0,0.1,0.1,0.07,0.9,0.9,8,7,569,1,0,0,0,1,1,0.16,0.0,0.16,0.16,0.16,0.0,0.01,0.0,0.01,0.01,0.01,IT
487,487,488,Florian Chabrolle,fr FRA,MF,Marseille,fr Ligue 1,21.0,1998.0,0.2,14.0,16.0,87.5,170.0,69.0,0.0,2.0,0.0,13.0,13.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,Matches,2020,Florian Chabrolle2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FR
488,488,489,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,32.0,1986.0,17.0,702.0,914.0,76.8,13800.0,5946.0,9.0,27.0,33.3,528.0,612.0,86.3,165.0,275.0,60.0,2,1.8,0.2,22.0,65.0,30.0,15.0,134.0,Matches,2020,Fouad Chafik2020,0,7,0,0.0,0.41,0.0,0.0,,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,20,18,1528,0,2,0,0,1,0,0.0,0.12,0.12,0.0,0.12,1.8,0.01,0.11,0.12,0.01,0.12,FR
489,489,490,Sofian Chakla,ma MAR,DF,Villarreal,es La Liga,25.0,1993.0,2.0,79.0,95.0,83.2,1839.0,568.0,1.0,1.0,100.0,44.0,50.0,88.0,34.0,44.0,77.3,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Matches,2020,Sofian Chakla2020,0,1,0,0.0,0.5,0.0,0.0,,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,2,2,180,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,ES
490,490,491,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,24.0,1994.0,10.3,263.0,358.0,73.5,4592.0,1235.0,7.0,22.0,31.8,215.0,264.0,81.4,41.0,72.0,56.9,1,1.3,-0.3,8.0,24.0,4.0,0.0,39.0,Matches,2020,Nathaniel Chalobah2020,0,9,0,0.0,0.87,0.0,0.0,,2.0,0,0,0.5,0.5,0.06,-0.5,-0.5,22,10,930,0,1,0,0,1,0,0.0,0.1,0.1,0.0,0.1,1.3,0.05,0.12,0.17,0.05,0.17,ENG
491,491,492,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,24.0,1995.0,12.2,702.0,865.0,81.2,14269.0,4325.0,7.0,31.0,22.6,503.0,571.0,88.1,192.0,263.0,73.0,1,0.7,0.3,4.0,36.0,5.0,2.0,62.0,Matches,2020,Calum Chambers2020,1,12,2,16.7,0.98,0.16,0.08,0.5,0.0,0,0,0.8,0.8,0.06,0.2,0.2,14,13,1102,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.7,0.06,0.06,0.12,0.06,0.12,ENG
492,492,493,Jhon Chancellor,ve VEN,DF,Brescia,it Serie A,27.0,1992.0,24.9,745.0,849.0,87.8,16775.0,4411.0,9.0,24.0,37.5,483.0,529.0,91.3,253.0,296.0,85.5,0,0.0,0.0,0.0,18.0,1.0,0.0,29.0,Matches,2020,Jhon Chancellor2020,3,13,3,23.1,0.52,0.12,0.23,1.0,0.0,0,0,2.0,2.0,0.15,1.0,1.0,26,26,2244,3,0,0,0,3,0,0.12,0.0,0.12,0.12,0.12,0.0,0.08,0.0,0.08,0.08,0.08,IT
493,493,494,Timothy Chandler,us USA,DFMF,Eint Frankfurt,de Bundesliga,29.0,1990.0,13.6,290.0,462.0,62.8,5690.0,2696.0,2.0,24.0,8.3,219.0,294.0,74.5,69.0,144.0,47.9,1,1.0,0.0,12.0,26.0,19.0,14.0,92.0,Matches,2020,Timothy Chandler2020,5,19,8,42.1,1.4,0.59,0.26,0.63,0.0,0,0,1.8,1.8,0.09,3.2,3.2,22,12,1220,5,1,0,0,4,0,0.37,0.07,0.44,0.37,0.44,1.0,0.13,0.07,0.2,0.13,0.2,DE
494,494,495,Kwon Chang-hoon,kr KOR,MFFW,Freiburg,de Bundesliga,25.0,1994.0,7.5,198.0,275.0,72.0,3593.0,982.0,3.0,16.0,18.8,157.0,196.0,80.1,38.0,63.0,60.3,0,1.1,-1.1,10.0,15.0,9.0,5.0,27.0,Matches,2020,Kwon Chang-hoon2020,2,15,6,40.0,2.0,0.8,0.13,0.33,0.0,0,0,1.9,1.9,0.12,0.1,0.1,23,6,676,2,0,0,0,0,0,0.27,0.0,0.27,0.27,0.27,1.1,0.25,0.14,0.39,0.25,0.39,DE
495,495,496,Gaëtan Charbonnier,fr FRA,FWMF,Brest,fr Ligue 1,30.0,1988.0,22.9,627.0,821.0,76.4,10587.0,2772.0,11.0,44.0,25.0,509.0,602.0,84.6,107.0,175.0,61.1,5,3.1,1.9,32.0,56.0,22.0,3.0,82.0,Matches,2020,Gaëtan Charbonnier2020,4,48,14,29.2,2.09,0.61,0.08,0.29,0.0,0,2,6.6,5.1,0.11,-2.6,-1.1,26,23,2065,4,5,0,2,5,0,0.17,0.22,0.39,0.17,0.39,3.1,0.29,0.14,0.42,0.22,0.36,FR
496,496,497,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24.0,1994.0,9.1,478.0,536.0,89.2,11899.0,3475.0,1.0,3.0,33.3,272.0,291.0,93.5,205.0,242.0,84.7,0,0.0,0.0,2.0,32.0,2.0,0.0,38.0,Matches,2020,Brendan Chardonnet2020,0,3,0,0.0,0.33,0.0,0.0,,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,12,9,823,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,FR
497,497,498,Charles,br BRA,FW,Eibar,es La Liga,35.0,1984.0,14.5,237.0,346.0,68.5,3241.0,415.0,17.0,32.0,53.1,195.0,277.0,70.4,25.0,37.0,67.6,0,0.8,-0.8,10.0,14.0,4.0,1.0,13.0,Matches,2020,Charles2020,6,23,9,39.1,1.59,0.62,0.22,0.56,0.0,1,2,4.5,3.0,0.13,1.5,2.0,30,13,1301,6,0,1,2,8,0,0.42,0.0,0.42,0.35,0.35,0.8,0.31,0.06,0.37,0.2,0.26,ES
498,498,499,Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28.0,1991.0,23.9,848.0,1096.0,77.4,16922.0,5347.0,14.0,31.0,45.2,615.0,695.0,88.5,219.0,370.0,59.2,3,2.1,0.9,38.0,75.0,26.0,7.0,120.0,Matches,2020,Xavier Chavalerin2020,1,19,3,15.8,0.8,0.13,0.05,0.33,0.0,0,0,0.7,0.7,0.04,0.3,0.3,24,24,2147,1,3,0,0,6,0,0.04,0.13,0.17,0.04,0.17,2.1,0.03,0.09,0.12,0.03,0.12,FR
499,499,500,Pablo Chavarría,ar ARG,FWMF,Mallorca,es La Liga,31.0,1988.0,2.3,40.0,63.0,63.5,494.0,91.0,4.0,8.0,50.0,34.0,47.0,72.3,2.0,8.0,25.0,0,0.7,-0.7,2.0,0.0,1.0,0.0,3.0,Matches,2020,Pablo Chavarría2020,0,5,0,0.0,2.15,0.0,0.0,,0.0,0,0,0.6,0.6,0.11,-0.6,-0.6,13,1,209,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7,0.24,0.29,0.53,0.24,0.53,ES
500,500,501,Aurélien Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34.0,1985.0,21.9,828.0,994.0,83.3,19123.0,7616.0,9.0,16.0,56.3,510.0,556.0,91.7,309.0,422.0,73.2,0,0.2,-0.2,2.0,79.0,2.0,0.0,87.0,Matches,2020,Aurélien Chedjou2020,0,8,2,25.0,0.37,0.09,0.0,0.0,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,22,22,1971,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.01,0.03,0.02,0.03,FR
501,501,502,Pape Cheikh Diop,es ESP,MF,Celta Vigo,es La Liga,21.0,1997.0,6.7,238.0,264.0,90.2,4096.0,947.0,8.0,10.0,80.0,187.0,207.0,90.3,43.0,47.0,91.5,1,0.3,0.7,5.0,19.0,2.0,0.0,19.0,Matches,2020,Pape Cheikh Diop2020,0,2,0,0.0,0.3,0.0,0.0,,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,16,6,599,0,1,0,0,5,1,0.0,0.15,0.15,0.0,0.15,0.3,0.02,0.04,0.06,0.02,0.06,ES
502,502,503,Chema,es ESP,DF,Getafe,es La Liga,27.0,1992.0,3.4,76.0,123.0,61.8,1998.0,714.0,1.0,2.0,50.0,44.0,57.0,77.2,31.0,64.0,48.4,0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,Matches,2020,Chema2020,0,3,0,0.0,0.87,0.0,0.0,,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,4,3,309,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,ES
503,503,504,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,15.0,2003.0,1.6,44.0,66.0,66.7,617.0,127.0,3.0,10.0,30.0,37.0,45.0,82.2,4.0,11.0,36.4,0,0.1,-0.1,1.0,0.0,0.0,0.0,3.0,Matches,2020,Rayan Cherki2020,0,3,2,66.7,1.89,1.26,0.0,0.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,6,1,143,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.06,0.15,0.09,0.15,FR
504,504,505,Denis Cheryshev,ru RUS,MFFW,Valencia,es La Liga,28.0,1990.0,10.3,240.0,349.0,68.8,4058.0,1037.0,7.0,20.0,35.0,196.0,253.0,77.5,37.0,76.0,48.7,2,1.2,0.8,8.0,14.0,12.0,6.0,32.0,Matches,2020,Denis Cheryshev2020,1,21,7,33.3,2.04,0.68,0.05,0.14,0.0,0,0,2.9,2.9,0.14,-1.9,-1.9,24,9,926,1,2,0,0,5,0,0.1,0.19,0.29,0.1,0.29,1.2,0.28,0.12,0.4,0.28,0.4,ES
505,505,506,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,34.0,1984.0,2.2,97.0,106.0,91.5,2022.0,587.0,2.0,3.0,66.7,68.0,71.0,95.8,27.0,32.0,84.4,0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,Matches,2020,Giorgio Chiellini2020,1,1,1,100.0,0.45,0.45,1.0,1.0,0.0,0,0,0.2,0.2,0.23,0.8,0.8,4,3,202,1,0,0,0,0,0,0.45,0.0,0.45,0.45,0.45,0.0,0.1,0.0,0.1,0.1,0.1,IT
506,506,507,Federico Chiesa,it ITA,FWDF,Fiorentina,it Serie A,21.0,1997.0,29.3,609.0,833.0,73.1,10231.0,3230.0,22.0,53.0,41.5,491.0,618.0,79.4,96.0,162.0,59.3,6,5.5,0.5,46.0,37.0,44.0,8.0,111.0,Matches,2020,Federico Chiesa2020,11,109,40,36.7,3.72,1.37,0.09,0.25,2.0,1,2,11.3,9.8,0.09,-0.3,0.2,34,31,2637,11,6,1,2,7,0,0.38,0.2,0.58,0.34,0.55,5.5,0.39,0.19,0.57,0.33,0.52,IT
507,507,508,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,22.0,1996.0,26.4,1528.0,1956.0,78.1,26142.0,8359.0,18.0,73.0,24.7,1290.0,1471.0,87.7,220.0,412.0,53.4,3,3.5,-0.5,36.0,96.0,23.0,12.0,162.0,Matches,2020,Ben Chilwell2020,3,15,6,40.0,0.57,0.23,0.2,0.5,0.0,0,0,0.9,0.9,0.06,2.1,2.1,27,27,2373,3,3,0,0,3,0,0.11,0.11,0.23,0.11,0.23,3.5,0.04,0.13,0.17,0.04,0.17,ENG
508,508,509,Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,29.0,1989.0,7.9,454.0,488.0,93.0,9089.0,3025.0,5.0,7.0,71.4,336.0,358.0,93.9,113.0,123.0,91.9,0,0.0,0.0,0.0,23.0,1.0,0.0,21.0,Matches,2020,Vlad Chiricheș2020,0,2,0,0.0,0.25,0.0,0.0,,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2,9,8,707,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,IT
509,509,510,Tahith Chong,nl NED,FWMF,Manchester Utd,eng Premier League,19.0,1999.0,0.4,9.0,14.0,64.3,136.0,35.0,0.0,2.0,0.0,9.0,11.0,81.8,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Matches,2020,Tahith Chong2020,0,1,0,0.0,2.43,0.0,0.0,,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,3,0,37,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,ENG
510,510,511,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17.0,2001.0,13.9,429.0,556.0,77.2,9784.0,2651.0,8.0,22.0,36.4,287.0,345.0,83.2,134.0,189.0,70.9,0,0.4,-0.4,8.0,60.0,10.0,1.0,60.0,Matches,2020,Joris Chotard2020,0,11,2,18.2,0.79,0.14,0.0,0.0,0.0,0,0,0.3,0.3,0.02,-0.3,-0.3,20,13,1251,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.4,0.02,0.03,0.05,0.02,0.05,FR
511,511,512,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,21.0,1997.0,9.9,428.0,494.0,86.6,7799.0,1521.0,9.0,21.0,42.9,329.0,365.0,90.1,90.0,108.0,83.3,1,0.1,0.9,3.0,30.0,2.0,0.0,20.0,Matches,2020,Hamza Choudhury2020,1,7,2,28.6,0.71,0.2,0.14,0.5,0.0,0,0,0.5,0.5,0.07,0.5,0.5,20,10,893,1,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,0.1,0.05,0.01,0.05,0.05,0.05,ENG
512,512,513,Mounir Chouiar,fr FRA,MFFW,Dijon,fr Ligue 1,20.0,1999.0,16.7,459.0,640.0,71.7,8098.0,2611.0,14.0,40.0,35.0,354.0,430.0,82.3,91.0,170.0,53.5,0,2.9,-2.9,44.0,33.0,20.0,3.0,94.0,Matches,2020,Mounir Chouiar2020,4,38,17,44.7,2.27,1.02,0.11,0.24,6.0,0,0,3.8,3.8,0.1,0.2,0.2,20,18,1506,4,0,0,0,4,1,0.24,0.0,0.24,0.24,0.24,2.9,0.23,0.17,0.4,0.23,0.4,FR
513,513,514,Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23.0,1996.0,19.5,1166.0,1258.0,92.7,26592.0,6425.0,7.0,16.0,43.8,715.0,745.0,96.0,444.0,497.0,89.3,0,1.1,-1.1,4.0,79.0,2.0,0.0,45.0,Matches,2020,Andreas Christensen2020,0,7,2,28.6,0.36,0.1,0.0,0.0,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,21,21,1751,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.1,0.04,0.06,0.09,0.04,0.09,ENG
514,514,515,Samuel Chukwueze,ng NGA,MFFW,Villarreal,es La Liga,20.0,1999.0,22.4,553.0,750.0,73.7,10360.0,2682.0,11.0,48.0,22.9,419.0,525.0,79.8,123.0,177.0,69.5,2,3.3,-1.3,35.0,36.0,33.0,9.0,90.0,Matches,2020,Samuel Chukwueze2020,3,50,11,22.0,2.23,0.49,0.06,0.27,0.0,0,0,3.5,3.5,0.07,-0.5,-0.5,36,20,2020,3,2,0,0,2,0,0.13,0.09,0.22,0.13,0.22,3.3,0.16,0.15,0.3,0.16,0.3,ES
515,515,516,Darko Churlinov,mk MKD,FW,Köln,de Bundesliga,19.0,2000.0,0.2,7.0,11.0,63.6,124.0,14.0,0.0,2.0,0.0,6.0,8.0,75.0,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,2020,Darko Churlinov2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,DE
516,516,517,Churripi,es ESP,GK,Valladolid,es La Liga,25.0,1994.0,2.7,35.0,99.0,35.4,1422.0,1098.0,0.0,1.0,0.0,14.0,15.0,93.3,21.0,83.0,25.3,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,2020,Churripi2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,3,3,244,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES
517,517,518,Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33.0,1986.0,17.8,992.0,1228.0,80.8,20143.0,7200.0,15.0,28.0,53.6,717.0,785.0,91.3,260.0,415.0,62.7,4,3.0,1.0,42.0,124.0,14.0,0.0,145.0,Matches,2020,Luca Cigarini2020,0,7,1,14.3,0.39,0.06,0.0,0.0,2.0,0,0,0.3,0.3,0.04,-0.3,-0.3,22,19,1598,0,4,0,0,8,1,0.0,0.23,0.23,0.0,0.23,3.0,0.02,0.17,0.19,0.02,0.19,IT
518,518,519,Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32.0,1987.0,18.1,597.0,712.0,83.8,11799.0,3127.0,12.0,25.0,48.0,435.0,505.0,86.1,150.0,182.0,82.4,0,0.2,-0.2,3.0,48.0,3.0,0.0,52.0,Matches,2020,Per Ciljan Skjelbred2020,0,1,0,0.0,0.06,0.0,0.0,,0.0,0,0,0.0,0.0,0.03,0.0,0.0,24,21,1628,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.0,0.01,DE
519,519,520,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30.0,1989.0,23.3,474.0,759.0,62.5,14582.0,9803.0,6.0,7.0,85.7,256.0,259.0,98.8,212.0,493.0,43.0,1,0.1,0.9,1.0,2.0,0.0,0.0,0.0,Matches,2020,Jasper Cillessen2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,24,24,2096,0,1,0,0,1,0,0.0,0.04,0.04,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,ES
520,520,521,Thiago Cionek,pl POL,DF,SPAL,it Serie A,33.0,1986.0,24.1,1029.0,1360.0,75.7,18352.0,7977.0,18.0,68.0,26.5,822.0,928.0,88.6,189.0,364.0,51.9,1,1.0,0.0,14.0,67.0,18.0,9.0,152.0,Matches,2020,Thiago Cionek2020,0,11,2,18.2,0.46,0.08,0.0,0.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,28,23,2169,0,1,0,0,11,0,0.0,0.04,0.04,0.0,0.04,1.0,0.02,0.04,0.06,0.02,0.06,IT
521,521,522,Ibrahim Cissé,ci CIV,DFFW,Nice,fr Ligue 1,20.0,1999.0,0.6,37.0,44.0,84.1,748.0,272.0,0.0,0.0,,26.0,28.0,92.9,11.0,16.0,68.8,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches,2020,Ibrahim Cissé2020,0,1,1,100.0,1.8,1.8,0.0,0.0,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,2,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,FR
522,522,523,Ibrahim Cissé,sn SEN,DF,Angers,fr Ligue 1,23.0,1996.0,0.7,57.0,63.0,90.5,983.0,361.0,1.0,1.0,100.0,45.0,48.0,93.8,11.0,14.0,78.6,0,0.1,-0.1,1.0,2.0,1.0,1.0,10.0,Matches,2020,Ibrahim Cissé2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,1,60,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.15,0.0,0.15,FR
523,523,524,Andrea Cistana,it ITA,DF,Brescia,it Serie A,22.0,1997.0,20.4,688.0,808.0,85.1,14976.0,4463.0,10.0,26.0,38.5,460.0,505.0,91.1,218.0,277.0,78.7,0,0.6,-0.6,5.0,31.0,5.0,0.0,39.0,Matches,2020,Andrea Cistana2020,1,6,2,33.3,0.29,0.1,0.17,0.5,0.0,0,0,0.4,0.4,0.07,0.6,0.6,21,21,1838,1,0,0,0,7,1,0.05,0.0,0.05,0.05,0.05,0.6,0.02,0.03,0.05,0.02,0.05,IT
524,524,525,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29.0,1989.0,13.2,253.0,322.0,78.6,5411.0,2056.0,3.0,6.0,50.0,175.0,201.0,87.1,75.0,115.0,65.2,0,0.0,0.0,1.0,20.0,2.0,0.0,24.0,Matches,2020,Ciaran Clark2020,2,6,4,66.7,0.46,0.3,0.33,0.5,0.0,0,0,1.3,1.3,0.22,0.7,0.7,14,14,1186,2,0,0,0,3,0,0.15,0.0,0.15,0.15,0.15,0.0,0.1,0.0,0.1,0.1,0.1,ENG
525,525,526,Leon Clarke,eng ENG,FWMF,Sheffield Utd,eng Premier League,34.0,1985.0,0.4,5.0,7.0,71.4,73.0,7.0,0.0,0.0,,4.0,6.0,66.7,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020,Leon Clarke2020,0,1,0,0.0,2.57,0.0,0.0,,0.0,0,0,0.4,0.4,0.39,-0.4,-0.4,2,0,35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,ENG
526,526,527,Alexis Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,21.0,1998.0,18.1,504.0,600.0,84.0,8313.0,1703.0,10.0,24.0,41.7,425.0,476.0,89.3,69.0,100.0,69.0,1,0.8,0.2,21.0,24.0,17.0,3.0,55.0,Matches,2020,Alexis Claude-Maurice2020,1,38,11,28.9,2.1,0.61,0.03,0.09,0.0,0,0,3.0,3.0,0.08,-2.0,-2.0,22,19,1629,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,0.8,0.17,0.05,0.21,0.17,0.21,FR
527,527,528,Christian Clemens,de GER,MFFW,Köln,de Bundesliga,27.0,1991.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020,Christian Clemens2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
528,528,529,Óscar Clemente,es ESP,MF,Atlético Madrid,es La Liga,20.0,1999.0,0.0,2.0,2.0,100.0,33.0,0.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020,Óscar Clemente2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ES
529,529,530,Yannis Clementia,fr FRA,GK,Nice,fr Ligue 1,22.0,1997.0,2.0,41.0,61.0,67.2,894.0,490.0,0.0,0.0,,32.0,32.0,100.0,9.0,29.0,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020,Yannis Clementia2020,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,2,2,180,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FR
