,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
186,Antonín Barák\Antonin-Barak,cz CZE,MF,Udinese,it Serie A,24,1994,2.2,76,104,73.1,1162,334,1,8,12.5,66,77,85.7,9,19,47.4,0,0.2,-0.2,4,4,3,0,15,Matches
187,Antonín Barák\Antonin-Barak,cz CZE,MF,Lecce,it Serie A,24,1994,15.2,571,701,81.5,9712,2661,19,37,51.4,461,523,88.1,91,141,64.5,1,1.4,-0.4,16,55,14,4,64,Matches
188,Federico Barba\Federico-Barba,it ITA,DF,Valladolid,es La Liga,25,1993,5.0,146,218,67.0,2704,1161,1,8,12.5,116,145,80.0,29,65,44.6,0,0.1,-0.1,2,20,2,1,31,Matches
189,Danilo Barbosa\Danilo-Barbosa,br BRA,DFMF,Nice,fr Ligue 1,23,1996,12.5,731,800,91.4,14004,3689,11,18,61.1,556,586,94.9,164,196,83.7,0,0.4,-0.4,7,66,5,0,49,Matches
190,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,18,2000,0.5,40,47,85.1,639,158,0,3,0.0,38,41,92.7,2,3,66.7,0,0.1,-0.1,2,1,0,0,1,Matches
191,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,24,1995,23.5,625,853,73.3,10379,3265,28,68,41.2,494,596,82.9,103,189,54.5,2,1.9,+0.1,28,59,23,5,104,Matches
192,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,34,1985,21.0,599,897,66.8,11391,5401,13,43,30.2,459,558,82.3,127,296,42.9,1,0.7,+0.3,7,67,15,2,112,Matches
193,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,22,1997,22.4,1015,1237,82.1,19860,6008,21,60,35.0,740,841,88.0,254,336,75.6,4,1.6,+2.4,22,124,31,3,161,Matches
194,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,30,1989,6.5,204,268,76.1,3743,1232,3,11,27.3,158,190,83.2,43,67,64.2,0,0.1,-0.1,2,30,4,0,30,Matches
195,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,it Serie A,31,1988,18.8,402,521,77.2,7165,1902,8,22,36.4,325,379,85.8,69,120,57.5,2,2.1,-0.1,15,30,5,2,44,Matches
196,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,22,1997,3.5,62,89,69.7,966,270,3,8,37.5,53,65,81.5,6,16,37.5,1,1.0,0.0,3,2,6,1,14,Matches
197,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,25,1993,12.3,540,616,87.7,10336,1945,11,20,55.0,403,454,88.8,126,142,88.7,4,2.7,+1.3,25,53,20,1,53,Matches
198,Aymen Barkok\Aymen-Barkok,de GER,FWMF,Düsseldorf,de Bundesliga,21,1998,0.9,17,29,58.6,345,113,0,1,0.0,13,21,61.9,4,7,57.1,0,0.0,0.0,0,3,1,0,4,Matches
199,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,eng Premier League,29,1989,15.0,155,253,61.3,2120,552,7,22,31.8,134,187,71.7,14,44,31.8,0,0.5,-0.5,4,5,10,0,23,Matches
200,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,eng Premier League,21,1997,23.1,559,729,76.7,8289,2046,18,51,35.3,491,591,83.1,50,87,57.5,8,3.5,+4.5,31,34,40,3,91,Matches
201,Antonio Barragán\Antonio-Barragan,es ESP,DF,Betis,es La Liga,32,1987,7.1,377,460,82.0,6658,2342,6,13,46.2,303,331,91.5,68,116,58.6,1,0.6,+0.4,8,21,19,6,51,Matches
202,Antonio Barreca\Antonio-Barreca,it ITA,DFMF,Genoa,it Serie A,24,1995,12.2,266,400,66.5,4975,2106,6,28,21.4,212,262,80.9,48,110,43.6,1,0.4,+0.6,5,11,10,5,59,Matches
203,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,19,2000,10.4,275,368,74.7,5103,1464,4,15,26.7,212,263,80.6,59,90,65.6,2,0.2,+1.8,5,27,2,0,43,Matches
204,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,17,2001,4.9,139,191,72.8,2344,593,3,14,21.4,116,139,83.5,20,38,52.6,0,0.5,-0.5,10,9,7,2,16,Matches
205,Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,it Serie A,35,1984,1.0,28,33,84.8,532,105,1,2,50.0,22,23,95.7,5,8,62.5,0,0.0,0.0,0,4,0,0,3,Matches
206,Musa Barrow\Musa-Barrow,gm GAM,FW,Bologna,it Serie A,20,1998,15.0,431,598,72.1,7549,2130,13,30,43.3,352,425,82.8,66,143,46.2,2,3.2,-1.2,35,35,14,3,58,Matches
