,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1202,Fabian Johnson\Fabian-Johnson,us USA,MFDF,M'gladbach,de Bundesliga,31,1987,3.0,89,116,76.7,1416,514,4,10,40.0,74,89,83.1,11,17,64.7,0,0.1,-0.1,1,4,1,0,18,Matches
1203,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,eng Premier League,18,2001,1.4,111,128,86.7,1843,452,1,4,25.0,99,111,89.2,11,13,84.6,0,0.0,0.0,0,11,3,0,12,Matches
1204,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,eng Premier League,27,1992,1.5,79,89,88.8,1388,398,2,3,66.7,60,66,90.9,17,20,85.0,0,0.0,0.0,0,6,0,0,1,Matches
1205,Frenkie de Jong\Frenkie-de-Jong,nl NED,MF,Barcelona,es La Liga,22,1997,23.5,1536,1661,92.5,25880,6035,33,58,56.9,1255,1330,94.4,248,273,90.8,2,2.3,-0.3,23,154,21,2,113,Matches
1206,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,es La Liga,28,1990,22.9,389,544,71.5,5635,912,20,42,47.6,334,450,74.2,35,52,67.3,1,2.5,-1.5,18,23,8,1,32,Matches
1207,Jony\Jony,es ESP,DF,Lazio,it Serie A,28,1991,13.1,441,640,68.9,9161,3090,10,33,30.3,312,377,82.8,119,230,51.7,1,1.1,-0.1,17,19,26,19,69,Matches
1208,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,es La Liga,25,1994,25.0,1497,1748,85.6,29876,6695,30,61,49.2,1088,1203,90.4,379,484,78.3,2,3.5,-1.5,36,138,26,12,162,Matches
1209,Bruno Jordão\Bruno-Jordao,pt POR,FW,Wolves,eng Premier League,20,1998,0.1,2,5,40.0,47,11,0,0,,1,3,33.3,1,2,50.0,0,0.0,0.0,0,0,0,0,1,Matches
1210,Jorginho\Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,26.4,1955,2221,88.0,37518,9104,33,54,61.1,1480,1619,91.4,442,548,80.7,2,2.4,-0.4,23,238,31,1,191,Matches
1211,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29.0,573,849,67.5,18122,10918,3,5,60.0,278,280,99.3,292,564,51.8,0,0.1,-0.1,1,9,0,0,0,Matches
1212,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,es La Liga,27,1991,22.3,406,565,71.9,6791,1146,15,48,31.3,322,408,78.9,69,109,63.3,1,1.8,-0.8,18,28,14,0,30,Matches
1213,Joselu\Joselu,es ESP,FW,Alavés,es La Liga,29,1990,30.9,541,995,54.4,8574,2354,24,62,38.7,424,761,55.7,93,172,54.1,2,2.1,-0.1,15,79,13,2,79,Matches
1214,Jota\Jota,es ESP,FWMF,Aston Villa,eng Premier League,28,1991,3.7,73,98,74.5,1408,627,1,4,25.0,56,68,82.4,16,26,61.5,1,0.7,+0.3,5,11,6,0,19,Matches
1215,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,eng Premier League,22,1996,25.4,681,861,79.1,11169,2084,21,54,38.9,567,685,82.8,93,122,76.2,1,3.8,-2.8,32,39,21,6,64,Matches
1216,Vukašin Jovanović\Vukasin-Jovanovic,rs SRB,DF,Bordeaux,fr Ligue 1,23,1996,6.4,405,453,89.4,8461,2899,1,4,25.0,287,303,94.7,117,146,80.1,1,0.3,+0.7,4,19,1,0,27,Matches
1217,Dejan Joveljić\Dejan-Joveljic,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1999,1.7,22,28,78.6,270,11,2,3,66.7,16,20,80.0,4,5,80.0,0,0.0,0.0,0,0,0,0,0,Matches
1218,Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,Monaco,fr Ligue 1,29,1989,5.3,138,209,66.0,2333,714,6,14,42.9,108,145,74.5,24,50,48.0,0,0.6,-0.6,5,13,6,1,24,Matches
1219,Luka Jović\Luka-Jovic,rs SRB,FW,Real Madrid,es La Liga,21,1997,4.8,111,134,82.8,1548,200,3,7,42.9,98,114,86.0,10,13,76.9,1,0.7,+0.3,3,9,1,0,5,Matches
1220,Juanmi\Juanmi,es ESP,FWMF,Betis,es La Liga,26,1993,2.9,46,57,80.7,623,132,4,7,57.1,38,43,88.4,4,7,57.1,0,0.1,-0.1,1,1,2,1,4,Matches
1221,David Juncà\David-Junca,es ESP,DF,Celta Vigo,es La Liga,25,1993,2.9,115,152,75.7,2071,739,2,6,33.3,93,110,84.5,20,36,55.6,0,0.0,0.0,0,10,1,1,13,Matches
1222,Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,MFFW,Sassuolo,it Serie A,19,2000,17.4,631,813,77.6,10355,2841,15,38,39.5,521,592,88.0,95,183,51.9,1,2.2,-1.2,30,54,26,1,88,Matches
1223,Lago Junior\Lago-Junior,ci CIV,MFFW,Mallorca,es La Liga,28,1990,24.3,526,729,72.2,7604,2118,21,64,32.8,456,557,81.9,49,108,45.4,0,1.2,-1.2,19,29,20,8,50,Matches
1224,Vinicius Júnior\Vinicius-Junior,br BRA,FWMF,Real Madrid,es La Liga,19,2000,15.2,421,544,77.4,6137,1184,15,53,28.3,366,427,85.7,40,64,62.5,1,2.6,-1.6,22,15,12,1,39,Matches
1225,James Justin\James-Justin,eng ENG,DF,Leicester City,eng Premier League,21,1998,11.2,651,802,81.2,10834,3631,9,39,23.1,554,610,90.8,88,153,57.5,1,1.2,-0.2,13,41,14,7,72,Matches
1226,Musa Juwara\Musa-Juwara,gm GAM,FWMF,Bologna,it Serie A,17,2001,1.7,51,80,63.8,831,296,0,7,0.0,43,58,74.1,8,15,53.3,0,0.1,-0.1,4,5,4,0,12,Matches
1227,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,1990,5.5,186,227,81.9,4006,1103,0,5,0.0,125,135,92.6,61,87,70.1,1,0.1,+0.9,1,4,0,0,4,Matches
1228,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,19.7,856,1024,83.6,19579,6543,3,8,37.5,551,614,89.7,302,402,75.1,1,0.1,+0.9,1,68,1,0,72,Matches
1229,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,25.0,484,637,76.0,11106,4148,9,18,50.0,302,347,87.0,173,272,63.6,2,0.5,+1.5,3,38,0,0,35,Matches
1230,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,25,1994,16.3,571,721,79.2,8759,2739,15,40,37.5,493,571,86.3,63,110,57.3,3,4.7,-1.7,38,33,22,5,92,Matches
1231,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,de Bundesliga,27,1992,27.5,970,1365,71.1,16660,6582,11,73,15.1,811,984,82.4,148,308,48.1,7,3.4,+3.6,36,60,41,30,165,Matches
1232,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,de Bundesliga,26,1992,17.3,456,731,62.4,9983,4288,2,29,6.9,302,390,77.4,152,312,48.7,6,7.1,-1.1,48,51,35,18,136,Matches
1233,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Amiens,fr Ligue 1,28,1991,22.2,592,868,68.2,9356,3004,24,69,34.8,480,609,78.8,88,190,46.3,5,2.5,+2.5,28,54,32,5,110,Matches
1234,Lovre Kalinić\Lovre-Kalinic,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,56,119,47.1,2205,1607,0,0,,19,20,95.0,37,99,37.4,0,0.0,0.0,0,1,0,0,0,Matches
1235,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Roma,it Serie A,31,1988,6.3,103,135,76.3,1493,204,7,11,63.6,86,109,78.9,10,15,66.7,1,1.0,0.0,7,3,3,0,7,Matches
1236,Salomon Kalou\Salomon-Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,33,1985,1.6,29,44,65.9,458,188,2,4,50.0,22,30,73.3,5,10,50.0,0,0.2,-0.2,1,4,2,0,5,Matches
1237,Samuel Kalu\Samuel-Kalu,ng NGA,FWDF,Bordeaux,fr Ligue 1,21,1997,15.1,388,524,74.0,6653,1627,6,19,31.6,326,399,81.7,56,106,52.8,1,1.8,-0.8,9,30,8,3,47,Matches
1238,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,22,1996,21.9,579,773,74.9,10747,2647,10,33,30.3,435,516,84.3,134,224,59.8,4,3.1,+0.9,39,60,15,3,90,Matches
1239,François Kamano\Francois-Kamano,gn GUI,DFMF,Bordeaux,fr Ligue 1,23,1996,7.2,246,310,79.4,3969,783,3,13,23.1,221,256,86.3,22,41,53.7,0,0.4,-0.4,5,9,3,2,21,Matches
1240,Boubacar Kamara\Boubacar-Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,19,1999,23.8,1130,1280,88.3,23096,7400,16,25,64.0,800,854,93.7,314,401,78.3,2,0.4,+1.6,7,78,5,0,72,Matches
1241,Hassane Kamara\Hassane-Kamara,gm GAM,DFFW,Reims,fr Ligue 1,24,1994,19.0,896,1110,80.7,16199,4880,11,45,24.4,723,815,88.7,162,250,64.8,0,0.5,-0.5,11,50,18,10,116,Matches
1242,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,7.5,458,520,88.1,7977,1769,12,24,50.0,365,396,92.2,81,100,81.0,2,2.7,-0.7,10,38,12,2,39,Matches
1243,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,28.7,394,592,66.6,6928,1845,13,49,26.5,297,400,74.3,84,143,58.7,2,2.5,-0.5,24,48,17,3,67,Matches
1244,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,0.8,12,17,70.6,158,52,2,4,50.0,9,12,75.0,1,1,100.0,0,0.1,-0.1,2,1,1,0,2,Matches
1245,Lee Kangin\Lee-Kangin,kr KOR,MFFW,Valencia,es La Liga,18,2001,5.0,188,239,78.7,3175,613,4,9,44.4,149,164,90.9,35,66,53.0,0,0.4,-0.4,6,10,4,0,16,Matches
1246,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,28,1991,19.2,973,1139,85.4,17297,4148,29,60,48.3,761,861,88.4,183,218,83.9,0,2.0,-2.0,26,103,28,8,105,Matches
1247,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,25,34,73.5,855,546,0,0,,7,7,100.0,18,27,66.7,0,0.0,0.0,0,0,0,0,0,Matches
1248,Wilfrid Kaptoum\Wilfrid-Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,2.2,59,71,83.1,958,204,3,3,100.0,47,53,88.7,9,15,60.0,0,0.0,0.0,1,5,1,0,4,Matches
1249,Kenan Karaman\Kenan-Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,15.0,224,335,66.9,3099,527,13,35,37.1,190,254,74.8,21,46,45.7,1,1.8,-0.8,24,13,7,1,12,Matches
1250,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,21,1998,6.4,107,149,71.8,1710,365,2,8,25.0,92,118,78.0,13,23,56.5,1,0.9,+0.1,10,5,3,0,14,Matches
1251,Mamoudou Karamoko\Mamoudou-Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20,1999,0.1,4,7,57.1,64,26,0,0,,3,6,50.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Matches
1252,Florian Kastenmeier\Florian-Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,23,1996,17.0,433,630,68.7,14652,9342,4,5,80.0,180,180,100.0,249,445,56.0,0,0.4,-0.4,2,10,0,0,1,Matches
1253,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,18,2001,14.6,520,733,70.9,10150,5189,3,23,13.0,401,482,83.2,116,228,50.9,0,0.4,-0.4,8,41,10,3,106,Matches
1254,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,19,2000,9.5,104,142,73.2,1436,338,11,24,45.8,82,102,80.4,11,16,68.8,2,1.0,+1.0,8,5,7,2,14,Matches
1255,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,26,1993,28.4,1167,1379,84.6,27198,8541,12,25,48.0,721,801,90.0,434,553,78.5,0,0.7,-0.7,6,70,3,0,75,Matches
1256,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,1996,5.3,376,402,93.5,6697,1550,4,8,50.0,305,321,95.0,67,73,91.8,0,0.3,-0.3,2,19,2,0,19,Matches
1257,Jules Keita\Jules-Keita,gn GUI,MFFW,Dijon,fr Ligue 1,21,1998,1.8,27,35,77.1,349,129,0,2,0.0,26,31,83.9,1,2,50.0,0,0.3,-0.3,1,4,2,0,3,Matches
1258,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,24,1995,9.1,608,684,88.9,9688,2389,12,25,48.0,520,559,93.0,76,100,76.0,3,2.1,+0.9,15,74,16,2,65,Matches
1259,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,19,2000,1.9,54,63,85.7,1125,236,0,1,0.0,41,45,91.1,13,17,76.5,0,0.1,-0.1,1,2,0,0,1,Matches
1260,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,1998,7.1,168,231,72.7,3670,1369,3,10,30.0,100,117,85.5,65,104,62.5,0,0.2,-0.2,2,5,0,0,12,Matches
1261,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,1990,17.2,493,669,73.7,9627,4222,8,25,32.0,365,439,83.1,120,205,58.5,1,0.9,+0.1,6,26,7,6,52,Matches
1262,Kenedy\Kenedy,br BRA,MFDF,Getafe,es La Liga,23,1996,6.5,133,201,66.2,2275,832,8,19,42.1,101,128,78.9,24,54,44.4,3,0.9,+2.1,9,8,13,8,24,Matches
1263,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22,1997,30.2,1180,1567,75.3,23017,10247,14,65,21.5,901,1069,84.3,265,433,61.2,3,1.2,+1.8,15,100,33,10,262,Matches
1264,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,22,1996,32.3,1532,1719,89.1,28066,6545,20,43,46.5,1215,1318,92.2,297,358,83.0,1,2.4,-1.4,31,142,30,4,138,Matches
1265,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,MFFW,Marseille,fr Ligue 1,24,1995,1.2,41,59,69.5,629,218,2,3,66.7,35,43,81.4,4,13,30.8,0,0.2,-0.2,2,0,1,0,5,Matches
1266,Wahbi Khazri\Wahbi-Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,28,1991,12.8,224,357,62.7,4577,1148,10,24,41.7,158,213,74.2,56,120,46.7,2,1.3,+0.7,18,25,7,2,44,Matches
1267,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,25,1994,29.4,637,885,72.0,10968,3520,25,56,44.6,490,606,80.9,122,223,54.7,2,1.2,+0.8,9,52,5,1,47,Matches
1268,Sami Khedira\Sami-Khedira,de GER,MF,Juventus,it Serie A,32,1987,7.6,275,330,83.3,4351,932,8,23,34.8,237,263,90.1,30,44,68.2,1,0.5,+0.5,7,17,8,2,21,Matches
1269,Kike\Kike,es ESP,FW,Eibar,es La Liga,29,1989,19.6,328,488,67.2,4497,733,18,46,39.1,280,375,74.7,30,67,44.8,1,0.8,+0.2,9,28,5,1,23,Matches
1270,Luca Kilian\Luca-Kilian,de GER,DF,Paderborn 07,de Bundesliga,19,1999,14.0,633,698,90.7,14282,3263,4,10,40.0,408,430,94.9,221,258,85.7,0,0.1,-0.1,1,27,1,0,19,Matches
1271,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,22,1997,2.1,72,90,80.0,1391,547,1,3,33.3,55,62,88.7,16,25,64.0,0,0.0,0.0,0,4,0,0,9,Matches
1272,Joshua Kimmich\Joshua-Kimmich,de GER,MFDF,Bayern Munich,de Bundesliga,24,1995,31.3,2440,2847,85.7,51130,15008,25,57,43.9,1727,1843,93.7,688,947,72.7,7,8.2,-1.2,81,252,64,15,333,Matches
1273,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23,1995,13.6,1061,1119,94.8,20133,5909,6,16,37.5,813,838,97.0,242,265,91.3,0,0.1,-0.1,2,41,0,0,44,Matches
1274,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,eng Premier League,27,1992,22.3,362,498,72.7,5440,1270,12,46,26.1,305,387,78.8,45,65,69.2,4,3.7,+0.3,28,20,19,5,45,Matches
1275,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23,1996,18.3,961,1138,84.4,16059,6302,8,31,25.8,826,902,91.6,127,205,62.0,1,0.5,+0.5,8,56,16,4,102,Matches
1276,Simon Kjær\Simon-Kjaer,dk DEN,DF,Atalanta,it Serie A,30,1989,3.2,131,143,91.6,2913,690,1,2,50.0,78,83,94.0,52,58,89.7,0,0.0,0.0,0,3,0,0,3,Matches
1277,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,30,1989,13.8,609,685,88.9,13499,4769,9,12,75.0,408,433,94.2,192,240,80.0,0,0.0,0.0,0,32,1,0,37,Matches
1278,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26,1993,32.6,1005,1291,77.8,17653,5361,18,69,26.1,817,974,83.9,170,248,68.5,5,3.4,+1.6,38,97,25,2,137,Matches
1279,Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,de Bundesliga,26,1992,7.4,150,218,68.8,2235,614,3,18,16.7,132,172,76.7,15,28,53.6,1,1.4,-0.4,12,11,6,2,20,Matches
1280,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,33,1985,26.2,1072,1183,90.6,23229,7345,12,19,63.2,707,738,95.8,353,426,82.9,0,0.6,-0.6,5,61,3,0,63,Matches
1281,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,eng Premier League,31,1988,6.5,331,390,84.9,6617,1809,3,9,33.3,244,265,92.1,84,116,72.4,0,0.0,0.0,0,9,1,0,15,Matches
1282,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,1996,29.4,1553,1803,86.1,28771,9414,19,41,46.3,1232,1361,90.5,302,401,75.3,1,1.7,-0.7,14,107,13,4,139,Matches
1283,Justin Kluivert\Justin-Kluivert,nl NED,FW,Roma,it Serie A,20,1999,16.8,394,483,81.6,6658,1328,13,31,41.9,316,366,86.3,65,86,75.6,1,1.1,-0.1,22,21,19,5,38,Matches
1284,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,23,1996,20.9,573,825,69.5,10844,4698,7,36,19.4,444,554,80.1,122,235,51.9,2,1.8,+0.2,13,35,14,8,97,Matches
1285,Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,de Bundesliga,27,1992,17.7,790,936,84.4,18843,5894,2,10,20.0,479,533,89.9,309,393,78.6,0,0.1,-0.1,2,62,6,2,98,Matches
1286,Robin Koch\Robin-Koch,de GER,DFMF,Freiburg,de Bundesliga,23,1996,30.1,1253,1466,85.5,31226,8903,4,26,15.4,695,801,86.8,554,639,86.7,0,1.5,-1.5,13,77,13,4,90,Matches
1287,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,es La Liga,20,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1288,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,eng Premier League,29,1989,1.3,19,30,63.3,307,8,0,1,0.0,16,25,64.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0,Matches
1289,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,es La Liga,25,1993,4.0,55,86,64.0,661,101,1,4,25.0,52,76,68.4,2,6,33.3,0,0.0,0.0,1,4,0,0,1,Matches
1290,Dominik Kohr\Dominik-Kohr,de GER,MF,Eint Frankfurt,de Bundesliga,25,1994,16.1,634,787,80.6,11129,2909,15,36,41.7,508,590,86.1,111,161,68.9,3,1.1,+1.9,15,64,13,2,85,Matches
1291,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,27,1992,30.0,1436,1752,82.0,22521,6076,63,96,65.6,1177,1301,90.5,196,355,55.2,5,5.4,-0.4,57,119,23,5,156,Matches
1292,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,it Serie A,33,1985,30.4,1446,1836,78.8,29136,9514,16,69,23.2,1088,1221,89.1,342,546,62.6,3,4.9,-1.9,56,80,41,16,215,Matches
1293,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,26,1993,18.9,869,1031,84.3,14321,4425,8,31,25.8,756,849,89.0,105,151,69.5,2,1.0,+1.0,9,52,15,4,83,Matches
1294,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1991,14.5,563,721,78.1,10944,4152,3,17,17.6,446,508,87.8,114,196,58.2,0,0.2,-0.2,8,35,4,2,73,Matches
1295,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,23,1995,14.8,711,897,79.3,12433,5367,8,35,22.9,596,682,87.4,107,180,59.4,1,1.0,0.0,15,55,13,6,125,Matches
1296,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,20,1999,6.3,303,342,88.6,5903,1597,4,5,80.0,220,243,90.5,79,94,84.0,0,0.1,-0.1,2,18,4,1,14,Matches
1297,Moussa Konaté\Moussa-Konate,sn SEN,FW,Amiens,fr Ligue 1,26,1993,6.8,87,118,73.7,1347,198,4,11,36.4,75,97,77.3,8,10,80.0,0,0.1,-0.1,3,7,1,0,8,Matches
1298,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,20.1,946,1114,84.9,19637,4245,18,24,75.0,665,750,88.7,263,340,77.4,1,0.2,+0.8,6,87,4,0,82,Matches
1299,Kouadio Koné\Kouadio-Kone,fr FRA,MF,Toulouse,fr Ligue 1,18,2001,9.7,317,383,82.8,5329,1378,9,13,69.2,255,294,86.7,53,76,69.7,0,0.1,-0.1,5,23,0,0,25,Matches
1300,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,30,1989,16.4,602,736,81.8,13848,4316,3,17,17.6,391,442,88.5,208,277,75.1,0,0.4,-0.4,4,42,5,3,53,Matches
1301,Moussa Koné\Moussa-Kone,sn SEN,FW,Nîmes,fr Ligue 1,22,1996,1.6,18,22,81.8,351,34,2,3,66.7,12,15,80.0,4,4,100.0,0,0.1,-0.1,1,2,0,0,0,Matches
1302,Youssouf Koné\Youssouf-Kone,ml MLI,DF,Lyon,fr Ligue 1,24,1995,9.1,561,648,86.6,10577,3340,2,9,22.2,454,492,92.3,105,147,71.4,0,0.7,-0.7,10,28,5,2,64,Matches
1303,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,1998,22.7,674,853,79.0,13926,4931,8,19,42.1,483,555,87.0,183,279,65.6,2,0.4,+1.6,9,45,5,2,70,Matches
1304,Pascal Köpke\Pascal-Kopke,de GER,FW,Hertha BSC,de Bundesliga,23,1995,1.3,25,36,69.4,359,66,3,4,75.0,18,26,69.2,4,6,66.7,0,0.0,0.0,1,0,0,0,2,Matches
1305,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,1985,24.3,1219,1362,89.5,27059,9854,6,9,66.7,820,877,93.5,393,476,82.6,0,0.4,-0.4,4,52,2,0,58,Matches
1306,Filip Kostić\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,26,1992,32.9,965,1613,59.8,19659,8143,18,103,17.5,691,939,73.6,256,571,44.8,11,9.3,+1.7,79,71,61,41,275,Matches
1307,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,it Serie A,21,1997,3.3,75,104,72.1,1240,235,3,12,25.0,60,72,83.3,12,20,60.0,1,0.2,+0.8,5,6,2,1,10,Matches
1308,Christian Kouamé\Christian-Kouame,ci CIV,FW,Genoa,it Serie A,21,1997,10.2,182,242,75.2,2749,497,3,13,23.1,156,198,78.8,23,31,74.2,2,1.0,+1.0,14,10,8,1,21,Matches
1309,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Paris S-G,fr Ligue 1,17,2002,5.0,309,336,92.0,6252,1897,2,5,40.0,222,240,92.5,85,91,93.4,0,0.2,-0.2,3,21,0,0,24,Matches
1310,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,500,840,59.5,17794,10509,0,0,,207,207,100.0,293,633,46.3,0,0.1,-0.1,1,10,0,0,0,Matches
1311,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,28,1991,23.4,1521,1651,92.1,31538,11604,18,23,78.3,1072,1125,95.3,431,503,85.7,0,0.5,-0.5,9,145,9,1,107,Matches
1312,Efthimis Koulouris\Efthimis-Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,17.1,362,496,73.0,5121,776,22,48,45.8,303,390,77.7,37,58,63.8,2,1.2,+0.8,18,16,9,3,23,Matches
1313,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,20,1998,25.7,1284,1489,86.2,26927,8422,5,22,22.7,913,996,91.7,366,471,77.7,1,0.5,+0.5,3,72,2,2,82,Matches
1314,Leonardo Koutris\Leonardo-Koutris,gr GRE,DF,Mallorca,es La Liga,24,1995,1.0,41,56,73.2,682,385,1,5,20.0,37,44,84.1,3,7,42.9,0,0.2,-0.2,1,1,2,1,5,Matches
1315,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,eng Premier League,29,1989,28.1,653,860,75.9,10612,3244,24,59,40.7,522,643,81.2,107,158,67.7,1,0.8,+0.2,8,39,8,1,57,Matches
1316,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,25,1994,23.0,1665,1846,90.2,32399,7924,24,42,57.1,1236,1312,94.2,405,492,82.3,3,2.0,+1.0,29,178,26,2,172,Matches
1317,Dawid Kownacki\Dawid-Kownacki,pl POL,FWMF,Düsseldorf,de Bundesliga,22,1997,12.1,214,311,68.8,3517,717,9,28,32.1,173,232,74.6,32,51,62.7,0,0.6,-0.6,11,10,11,3,25,Matches
1318,İsmail Köybaşı\Ismail-Koybasi,tr TUR,DFFW,Granada,es La Liga,30,1989,2.6,57,84,67.9,1056,541,2,7,28.6,41,52,78.8,14,25,56.0,0,0.2,-0.2,1,8,2,2,17,Matches
1319,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,78,129,60.5,3102,2356,0,0,,28,28,100.0,50,101,49.5,0,0.0,0.0,0,2,0,0,0,Matches
