,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,29,27,2,0,0,6,1,1,0,0,0,0,22,3,4,2,27,0,0,0,25,0,1,0,0,Matches
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1183,1130,53,33,1,150,15,4,0,0,0,0,852,134,197,840,209,92,20,1,1042,2,11,5,13,Matches
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6.0,206,202,4,2,0,48,3,6,1,0,0,1,164,21,21,14,181,6,1,0,172,0,2,6,4,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,754,727,27,12,1,111,4,3,0,0,0,0,606,69,79,93,619,17,15,1,659,0,16,7,3,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2478,2375,103,44,7,263,52,28,4,0,1,0,1938,283,257,2081,276,46,55,6,2250,1,21,20,26,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,811,613,198,14,1,102,13,29,0,0,0,0,421,224,166,45,545,29,184,3,664,1,9,8,30,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,308,278,30,3,4,92,9,4,0,0,0,0,187,78,43,32,228,19,2,9,227,2,3,15,8,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2141,1940,201,30,1,172,31,65,2,0,0,0,1526,365,250,1651,269,43,169,4,1864,5,20,30,66,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2263,1983,280,68,16,426,106,179,149,53,59,15,1570,302,391,82,2113,26,23,14,1792,23,31,40,58,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1882,1830,52,47,1,198,120,3,0,0,0,0,1285,223,374,209,1521,97,3,6,1619,4,47,15,10,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,508,473,35,0,1,81,25,68,10,2,6,0,292,82,134,51,411,17,25,3,344,0,14,9,30,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,230,206,24,1,2,42,0,1,1,0,0,0,143,54,33,39,170,11,1,6,181,1,3,2,6,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,112,95,17,0,0,15,3,2,1,0,0,0,62,32,18,15,85,7,0,3,84,0,4,8,2,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,1840,1777,63,55,2,334,89,7,3,1,1,1,1259,297,284,126,1632,49,4,6,1649,5,23,24,22,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1059,951,108,85,2,202,93,28,19,7,5,0,613,171,275,136,837,50,4,6,831,2,35,16,23,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,1895,1814,81,72,6,205,65,8,0,0,0,0,1238,190,467,340,1402,101,9,7,1567,10,39,9,12,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1170,934,236,19,0,200,17,43,4,1,2,0,648,231,291,757,124,57,213,1,910,2,13,24,23,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,35,35,0,0,0,14,1,1,0,0,0,0,13,10,12,2,18,5,0,1,23,1,0,1,0,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,156,151,5,1,1,26,3,4,4,0,3,0,112,24,20,141,14,1,0,0,143,1,3,2,3,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,389,384,5,3,0,79,11,3,0,0,0,0,306,48,35,336,36,10,2,2,333,2,2,6,8,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,327,222,105,24,0,45,9,0,0,0,0,0,154,27,146,23,238,0,0,54,237,2,14,2,0,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3147,2495,652,86,8,415,226,377,162,43,74,8,1472,567,1108,313,2330,83,404,7,2254,11,84,35,111,Matches
60,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,75,38,37,13,0,5,1,0,0,0,0,0,41,2,32,4,60,0,0,8,53,0,1,1,1,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,467,430,37,3,1,116,7,15,1,1,0,0,300,90,77,97,301,28,2,7,342,0,7,19,21,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,925,701,224,54,1,133,28,0,0,0,0,0,590,85,250,65,688,2,0,132,794,2,19,3,0,Matches
63,Allan\Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,829,796,33,17,3,145,20,13,0,0,0,0,618,104,107,75,715,14,16,3,718,1,10,15,25,Matches
64,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,20.5,805,747,58,9,6,195,8,7,4,0,0,1,587,139,79,33,702,30,17,8,621,6,8,16,37,Matches
65,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,33.6,894,881,13,2,2,207,22,42,1,0,1,0,635,145,114,777,67,29,8,8,682,3,16,31,40,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1108,941,167,8,0,228,21,67,1,1,0,0,674,231,203,788,93,44,158,0,916,1,15,11,30,Matches
67,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,716,547,169,7,0,110,14,33,1,0,1,0,379,129,208,73,440,30,161,1,500,2,15,19,33,Matches
68,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,27,1992,12.7,427,417,10,8,0,79,16,2,0,0,0,0,234,63,130,45,330,33,2,1,322,1,10,7,8,Matches
69,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,53,31,22,3,0,8,4,0,0,0,0,0,28,2,23,4,41,1,0,5,39,0,2,0,0,Matches
70,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1403,1335,68,57,1,152,50,12,0,0,0,0,935,158,310,89,1164,96,11,6,1149,6,40,9,13,Matches
71,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1312,1221,91,82,0,111,113,13,0,0,0,0,747,217,348,204,972,80,2,8,1096,4,32,11,12,Matches
