,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1429,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,24,1995,15.2,507,501,6,2,1,116,8,8,0,0,0,0,393,60,54,48,416,29,0,4,395,2,10,10,27,Matches
1430,Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,175,173,2,2,0,13,2,0,0,0,0,0,155,10,10,156,12,3,0,0,161,0,0,3,2,Matches
1431,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,568,381,187,38,0,49,14,0,0,0,0,0,235,38,295,331,113,0,0,82,395,2,9,1,1,Matches
1432,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,eng Premier League,23,1996,16.6,1005,922,83,37,2,178,45,56,40,18,9,7,684,162,159,847,116,20,6,9,832,4,10,16,21,Matches
1433,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,777,762,15,13,0,172,25,4,2,0,1,0,595,79,103,79,658,26,0,7,683,2,9,9,15,Matches
1434,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,8.4,646,632,14,14,1,79,16,1,0,0,0,0,530,67,49,68,562,11,0,3,608,0,3,10,5,Matches
1435,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,eng Premier League,25,1993,1.0,19,19,0,0,0,10,0,1,0,0,0,0,11,3,5,2,14,2,0,0,9,1,0,0,3,Matches
1436,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,133,123,10,1,0,41,1,4,0,0,0,0,89,31,13,22,93,8,1,1,97,2,1,3,8,Matches
1437,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,28.7,2178,2069,109,81,10,300,84,63,24,11,10,2,1652,224,302,492,1617,38,4,5,1886,7,25,35,31,Matches
1438,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,1246,945,301,8,2,144,23,89,0,0,0,0,612,253,381,825,77,38,293,4,926,7,25,9,50,Matches
1439,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,eng Premier League,23,1996,2.3,131,129,2,2,1,12,4,1,0,0,0,0,104,16,11,14,109,6,0,1,116,0,3,2,1,Matches
1440,Enzo Loiodice\Enzo-Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,116,111,5,1,0,31,4,5,4,0,3,0,87,8,21,102,11,2,0,0,98,0,2,2,5,Matches
1441,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,186,183,3,2,0,21,4,0,0,0,0,0,108,19,59,11,132,29,1,0,142,0,5,0,1,Matches
1442,Shane Long\Shane-Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,405,400,5,0,0,169,8,20,0,0,0,0,134,146,125,48,184,56,1,24,226,1,15,6,28,Matches
1443,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,237,232,5,3,0,34,5,2,0,0,0,0,161,30,46,21,200,13,0,0,193,0,4,6,4,Matches
1444,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,657,605,52,39,1,120,36,30,11,5,3,0,425,94,138,115,477,51,1,3,515,1,16,8,13,Matches
1445,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,21,1997,3.4,152,140,12,1,0,31,5,14,3,3,0,0,115,17,20,27,114,2,7,1,116,0,4,1,7,Matches
1446,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,818,584,234,47,1,82,18,0,0,0,0,0,490,63,265,474,172,2,1,142,676,0,15,3,0,Matches
1447,Rony Lopes\Rony-Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,52,48,4,0,0,14,2,5,3,1,1,0,40,6,6,36,12,3,1,0,43,1,1,0,2,Matches
1448,Rony Lopes\Rony-Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,26,25,1,0,0,5,0,0,0,0,0,0,22,0,4,24,0,1,1,0,24,0,0,2,0,Matches
1449,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,31,1988,16.0,507,489,18,1,3,134,4,14,0,0,0,0,310,110,87,32,389,38,0,11,358,3,16,11,18,Matches
1450,David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,1989,27.3,1376,1326,50,49,3,235,31,12,0,0,0,0,852,200,324,141,1077,109,1,8,1109,4,24,15,16,Matches
1451,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,1142,703,439,135,0,55,25,0,0,0,0,0,386,63,693,117,765,0,1,119,665,4,33,1,0,Matches
1452,Javi López\Javi-Lopez,es ESP,DF,Alavés,es La Liga,17,2002,1.0,30,22,8,0,0,6,0,5,0,0,0,0,13,7,10,18,1,2,8,0,18,0,0,0,2,Matches
1453,Javi López\Javi-Lopez,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,718,571,147,8,1,121,12,35,1,0,1,0,318,172,228,89,433,35,138,2,534,1,18,4,21,Matches
1454,Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,245,234,11,7,0,13,2,2,0,0,0,0,208,17,20,40,186,10,4,3,219,0,3,0,5,Matches
1455,Maxime Lopez\Maxime-Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,21,1997,12.3,884,855,29,11,4,133,10,24,9,3,4,0,729,86,69,79,786,10,8,0,775,0,9,20,12,Matches
1456,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,24,1994,32.0,1056,769,287,79,0,127,22,0,0,0,0,0,607,79,370,625,234,1,0,179,831,6,26,11,3,Matches
1457,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.3,33,32,1,0,0,4,0,3,0,0,0,0,24,4,5,27,2,0,1,1,24,0,1,1,1,Matches
1458,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,1210,1074,136,62,4,149,79,101,55,13,22,9,769,172,269,42,1106,34,5,4,1004,1,20,8,18,Matches
1459,Iker Losada\Iker-Losada,es ESP,MFFW,Celta Vigo,es La Liga,17,2001,0.1,9,9,0,0,0,0,0,3,0,0,0,0,5,2,2,1,7,1,0,0,7,0,0,0,0,Matches
1460,Albert Lottin\Albert-Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,18,18,0,0,0,4,0,0,0,0,0,0,15,2,1,3,15,0,0,0,17,0,0,0,1,Matches
1461,Imran Louza\Imran-Louza,fr FRA,MFFW,Nantes,fr Ligue 1,20,1999,22.3,1157,1030,127,54,5,229,55,75,54,20,21,4,775,143,239,905,191,35,5,4,901,6,17,22,14,Matches
1462,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,Matches
1463,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,603,587,16,15,1,64,16,1,0,0,0,0,411,80,112,114,433,41,1,1,530,0,12,3,5,Matches
1464,Eduard Löwen\Eduard-Lowen,de GER,MFFW,Augsburg,de Bundesliga,22,1997,7.5,247,210,37,18,0,60,18,22,16,6,7,2,130,58,59,28,194,11,1,1,157,5,6,4,11,Matches
1465,Eduard Löwen\Eduard-Lowen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,147,142,5,4,0,39,9,2,1,0,0,1,94,26,27,17,119,8,0,0,118,0,3,1,5,Matches
1466,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,726,562,164,12,2,144,20,43,0,0,0,0,294,162,270,51,477,35,152,2,497,5,20,17,19,Matches
1467,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.4,352,341,11,0,0,97,8,42,4,0,4,0,243,64,45,20,315,8,3,0,270,1,4,8,22,Matches
1468,Pol Lozano\Pol-Lozano,es ESP,MFFW,Espanyol,es La Liga,19,1999,1.9,92,90,2,1,0,10,4,1,1,0,1,0,71,10,11,6,83,1,0,1,82,0,1,0,2,Matches
1469,Jan Luca Rumpf\Jan-Luca-Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,53,42,11,5,0,6,0,0,0,0,0,0,36,7,10,3,41,1,6,1,41,0,2,0,1,Matches
1470,Lucas\Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,25,23,2,2,0,7,0,0,0,0,0,0,20,4,1,7,18,0,0,0,18,0,1,0,0,Matches
1471,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,147,143,4,3,0,28,3,4,0,0,0,0,109,21,17,20,119,2,1,4,128,0,2,2,3,Matches
1472,Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,34.8,1570,1477,93,87,0,185,106,4,0,0,0,0,1063,168,339,228,1256,48,6,4,1353,5,21,15,14,Matches
1473,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,24,1995,22.1,1039,833,206,30,0,168,24,79,0,0,0,0,624,201,214,700,122,33,176,3,815,2,25,11,29,Matches
1474,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,32,1987,28.0,700,669,31,3,7,143,24,70,6,1,1,3,447,144,109,120,527,21,16,6,472,5,20,21,60,Matches
1475,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.6,1318,1231,87,61,0,184,22,7,0,0,0,0,963,160,195,984,184,80,26,6,1148,3,12,6,19,Matches
1476,José Luis Rodríguez\Jose-Luis-Rodriguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,0,1,Matches
1477,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,1713,1611,102,98,6,251,72,5,0,0,0,0,1235,161,317,409,1228,48,4,10,1481,7,31,9,14,Matches
1478,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,1216,1151,65,44,2,177,58,24,3,0,1,0,696,246,274,123,979,70,6,13,984,2,28,14,12,Matches
1479,Jordan Lukaku\Jordan-Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,4.4,168,143,25,0,0,21,6,19,0,0,0,0,102,31,35,103,38,1,25,0,128,1,5,3,8,Matches
1480,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,26,1993,33.1,809,769,40,0,9,321,19,24,0,0,0,0,476,209,124,435,234,38,0,37,580,6,9,15,32,Matches
1481,Dodi Lukebakio\Dodi-Lukebakio,cd COD,FWMF,Hertha BSC,de Bundesliga,21,1997,22.6,637,585,52,8,3,139,23,56,19,6,8,4,393,153,91,453,129,21,11,7,480,1,12,12,23,Matches
1482,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,22,1996,20.7,843,795,48,32,1,143,24,23,9,4,2,0,641,94,108,102,680,40,3,4,728,3,6,12,23,Matches
1483,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,864,766,98,7,2,176,36,69,0,0,0,0,529,139,196,160,582,18,91,4,685,4,13,20,26,Matches
1484,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,1202,1179,23,8,4,262,51,55,3,2,0,1,759,229,214,320,800,54,3,6,966,9,28,20,32,Matches
1485,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,381,363,18,10,0,37,8,5,0,0,0,0,302,36,43,317,42,10,8,1,347,1,1,3,1,Matches
1486,Arnaud Lusamba\Arnaud-Lusamba,fr FRA,MFFW,Nice,fr Ligue 1,22,1997,10.9,448,414,34,15,4,80,14,12,9,0,5,1,353,61,34,67,360,7,4,5,383,0,8,10,3,Matches
1487,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,419,302,117,26,0,25,8,0,0,0,0,0,211,26,182,39,305,0,0,51,294,1,16,0,3,Matches
1488,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,22,1997,13.1,649,623,26,25,1,82,33,5,0,0,0,0,486,50,113,56,566,17,1,1,552,1,10,8,10,Matches
1489,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,14.9,620,495,125,17,1,83,18,63,14,7,2,3,297,95,228,459,33,20,94,0,405,2,16,11,32,Matches
1490,Yann M'Vila\Yann-MVila,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,29,1990,21.6,1185,1159,26,24,4,164,53,2,0,0,0,0,801,190,194,93,1001,64,2,6,1024,0,21,23,13,Matches
1491,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,20,1998,3.9,130,99,31,10,0,27,3,23,17,8,6,1,72,26,32,15,107,4,0,0,84,0,3,2,4,Matches
1492,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,26,1993,23.7,582,504,78,24,0,140,40,141,46,22,10,6,308,97,177,107,421,28,8,2,361,1,17,14,32,Matches
1493,Yvann Macon\Yvann-Macon,GPE,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,63,44,19,0,0,8,3,3,0,0,0,0,29,26,8,5,34,3,19,0,46,0,0,3,1,Matches
1494,James Maddison\James-Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,1674,1422,252,82,16,267,93,220,157,43,76,15,1051,247,376,158,1462,31,7,11,1282,8,30,36,38,Matches
1495,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,426,396,30,27,2,65,15,0,0,0,0,0,233,54,139,73,288,45,3,2,341,0,16,3,4,Matches
1496,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,1176,1111,65,64,0,249,35,3,0,0,0,0,877,137,162,104,1030,30,0,1,1049,5,12,15,10,Matches
1497,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DFMF,Brescia,it Serie A,23,1995,1.3,37,37,0,0,0,7,0,0,0,0,0,0,25,4,8,9,23,2,0,0,29,0,1,0,0,Matches
1498,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,77,72,5,5,0,4,8,0,0,0,0,0,58,4,15,9,62,2,0,0,65,0,2,0,0,Matches
1499,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,161,160,1,0,1,41,6,6,0,0,0,0,103,27,31,21,128,8,1,1,130,0,3,2,1,Matches
1500,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,2404,2328,76,66,1,363,91,2,0,0,0,0,1787,269,348,320,1862,119,10,11,2128,5,45,21,11,Matches
1501,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,38,38,0,0,0,10,0,0,0,0,0,0,27,10,1,3,28,3,0,1,33,0,2,0,2,Matches
1502,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,1188,1113,75,11,23,202,50,88,55,25,3,6,890,138,160,1039,114,15,9,3,1009,5,16,19,27,Matches
1503,Thiago Maia\Thiago-Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,39,36,3,1,0,5,0,0,0,0,0,0,25,5,9,28,6,2,2,0,31,0,1,0,0,Matches
1504,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,324,311,13,4,1,38,17,15,8,3,4,1,212,56,56,33,280,8,0,1,271,0,7,7,5,Matches
1505,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,1309,1287,22,16,2,250,45,52,0,0,0,0,950,164,195,116,1107,49,4,9,1059,6,24,20,34,Matches
1506,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,762,486,276,76,0,58,14,0,0,0,0,0,315,38,409,50,538,0,0,143,491,2,18,1,3,Matches
1507,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,999,816,183,18,0,159,14,17,0,0,0,0,630,231,138,128,673,21,165,6,825,1,24,24,31,Matches
1508,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,206,190,16,1,2,62,0,0,0,0,0,0,153,38,15,29,159,8,1,5,175,1,0,5,4,Matches
1509,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,89,87,2,0,1,14,0,7,0,0,0,0,63,15,11,7,78,2,1,0,65,0,1,1,4,Matches
1510,Žan Majer\Zan-Majer,si SVN,MF,Lecce,it Serie A,27,1992,18.5,746,716,30,10,3,137,17,25,13,0,1,0,525,108,113,132,575,24,4,4,593,4,5,15,27,Matches
1511,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MFFW,Toulouse,fr Ligue 1,21,1998,11.0,447,442,5,3,2,101,6,8,1,1,0,0,358,54,35,349,84,8,1,3,373,1,6,14,7,Matches
1512,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,730,664,66,24,1,157,9,9,0,0,0,0,377,162,191,54,506,117,4,4,534,3,19,8,20,Matches
1513,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,27,1991,20.0,1389,1341,48,33,2,117,49,13,0,0,0,0,1142,136,111,98,1204,49,11,6,1287,0,11,11,15,Matches
1514,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,174,138,36,4,0,44,6,13,0,0,0,0,106,32,36,7,131,1,32,0,142,1,6,4,1,Matches
1515,Daniel Maldini\Daniel-Maldini,it ITA,FW,Milan,it Serie A,17,2001,0.3,16,16,0,0,0,1,0,0,0,0,0,0,11,3,2,1,15,0,0,0,13,0,0,0,1,Matches
1516,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,26,1993,17.1,979,892,87,23,7,184,45,90,52,9,26,12,712,103,164,834,108,16,9,3,779,3,20,19,29,Matches
1517,Yunus Mallı\Yunus-Malli,tr TUR,FWMF,Union Berlin,de Bundesliga,27,1992,7.5,213,204,9,1,0,53,3,10,3,3,0,0,125,49,39,21,165,21,1,4,152,2,8,2,9,Matches
1518,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,28,1991,21.8,1301,1031,270,28,2,193,22,85,2,0,1,0,679,284,338,127,854,59,240,2,998,3,35,11,44,Matches
1519,Streli Mamba\Streli-Mamba,de GER,FW,Paderborn 07,de Bundesliga,25,1994,16.9,276,243,33,0,1,94,1,6,0,0,0,0,191,51,34,30,211,10,4,8,212,1,9,7,8,Matches
1520,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,19,1999,1.6,82,81,1,1,1,20,4,0,0,0,0,0,62,7,13,7,63,6,0,1,73,0,3,1,1,Matches
1521,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,30,1989,22.0,1317,1065,252,13,2,174,20,42,0,0,0,0,738,283,296,113,914,36,239,6,1063,2,28,25,36,Matches
1522,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,it Serie A,23,1996,30.4,1679,1614,65,55,4,198,17,2,0,0,0,0,1350,126,203,169,1410,48,10,3,1500,2,19,13,12,Matches
1523,Marco Mancosu\Marco-Mancosu,it ITA,MFFW,Lecce,it Serie A,30,1988,27.1,908,889,19,5,3,214,25,45,4,0,0,0,564,181,163,122,717,35,7,14,682,3,29,21,39,Matches
1524,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,26.3,848,627,221,79,0,71,22,0,0,0,0,0,401,56,391,98,565,0,0,134,575,0,23,4,2,Matches
1525,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,25,1994,12.3,656,545,111,12,0,92,13,41,0,0,0,0,399,135,122,456,65,23,99,4,523,0,13,11,34,Matches
1526,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,27,1991,28.6,1778,1678,100,87,1,207,73,3,0,0,0,0,1361,178,239,162,1504,69,12,8,1626,3,20,10,13,Matches
1527,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,22,1997,22.8,973,885,88,42,2,165,49,50,37,20,0,1,574,173,226,792,104,55,6,1,788,6,12,19,20,Matches
1528,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,27,1992,30.5,1162,1141,21,8,10,245,26,49,0,0,0,0,766,243,153,235,839,39,10,15,933,3,17,29,50,Matches
1529,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,28,1991,7.5,289,283,6,6,0,38,6,0,0,0,0,0,200,50,39,196,71,11,0,4,254,0,5,2,1,Matches
1530,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,32,1987,20.8,1366,1209,157,75,2,186,55,137,73,19,45,5,780,228,358,1101,205,33,9,6,1073,2,17,19,25,Matches
1531,Massimiliano Mangraviti\Massimiliano-Mangraviti,it ITA,DF,Brescia,it Serie A,21,1998,10.8,443,382,61,17,0,63,13,9,0,0,0,0,245,56,142,340,36,14,44,1,365,0,6,5,8,Matches
1532,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,28,1991,24.2,1476,1427,49,46,0,169,53,0,0,0,0,0,1198,156,122,222,1160,58,3,10,1369,3,20,6,3,Matches
1533,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,25,1994,17.8,632,502,130,4,0,104,13,45,0,0,0,0,313,126,193,49,405,39,126,2,452,2,15,9,24,Matches
1534,Giacomo Manzari\Giacomo-Manzari,it ITA,FWMF,Sassuolo,it Serie A,18,2000,0.2,7,7,0,0,0,2,0,0,0,0,0,0,5,0,2,5,1,0,0,0,4,0,1,0,1,Matches
1535,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,20,1999,7.5,317,313,4,0,0,65,3,9,0,0,0,0,249,42,26,43,263,4,3,1,257,0,6,14,7,Matches
1536,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,21,1998,20.0,996,779,217,16,0,158,20,63,0,0,0,0,523,217,256,667,87,30,201,1,760,2,20,19,31,Matches
1537,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,30,1989,9.2,752,662,90,15,1,110,17,30,0,0,0,0,450,122,180,566,56,38,75,3,620,1,18,4,15,Matches
1538,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,31,1988,14.4,1071,944,127,12,1,112,42,56,0,0,0,0,685,179,207,805,119,16,115,8,882,2,18,16,39,Matches
1539,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,32,1987,16.7,1133,1092,41,39,0,131,36,1,0,0,0,0,816,133,184,41,991,56,2,3,987,2,14,8,9,Matches
1540,Solly March\Solly-March,eng ENG,DFFW,Brighton,eng Premier League,25,1994,12.7,601,516,85,8,0,129,33,64,14,7,3,2,325,115,161,459,45,24,60,3,435,1,15,11,29,Matches
1541,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,27,1992,21.1,1463,1411,52,43,2,153,24,2,0,0,0,0,1245,103,115,1198,212,26,6,4,1369,2,11,5,8,Matches
1542,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFFW,Athletic Club,es La Liga,30,1989,6.0,228,195,33,4,2,29,5,20,3,0,2,0,115,59,54,14,166,16,26,0,168,1,5,3,13,Matches
1543,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,19,1999,1.0,64,63,1,1,0,6,3,0,0,0,0,0,48,2,14,7,54,2,0,0,53,0,2,1,0,Matches
1544,Miguel Marí\Miguel-Mari,es ESP,MF,Eibar,es La Liga,22,1997,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,Matches
1545,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,25,1993,1.3,91,90,1,1,0,4,3,0,0,0,0,0,61,15,15,80,9,2,0,0,81,0,2,0,1,Matches
1546,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,24,1995,19.5,853,791,62,58,1,77,33,0,0,0,0,0,644,54,155,143,632,48,1,4,753,3,9,8,3,Matches
1547,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,25,1993,0.5,15,13,2,0,0,1,0,0,0,0,0,0,9,3,3,1,9,3,0,1,11,0,1,0,1,Matches
1548,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,eng Premier League,32,1986,16.8,585,451,134,7,1,73,12,21,0,0,0,0,253,121,211,44,356,42,127,0,426,2,15,6,10,Matches
1549,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,27,1991,2.2,111,105,6,3,1,20,3,4,2,0,2,0,59,27,25,15,87,7,1,0,84,0,2,4,4,Matches
1550,Federico Marigosu\Federico-Marigosu,it ITA,MF,Cagliari,it Serie A,18,2001,0.3,15,15,0,0,0,1,1,2,0,0,0,0,7,2,6,3,10,2,0,0,8,0,0,0,1,Matches
1551,Adrián Marín\Adrian-Marin,es ESP,DF,Alavés,es La Liga,22,1997,9.5,355,255,100,11,0,39,8,20,2,0,2,0,169,74,112,230,12,19,87,4,253,3,6,7,10,Matches
1552,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Alavés,es La Liga,25,1994,1.0,11,10,1,1,0,1,0,0,0,0,0,0,6,4,1,1,10,0,0,0,7,0,0,0,1,Matches
1553,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,25,1994,19.5,1053,1014,39,37,0,119,48,4,0,0,0,0,784,107,162,68,932,34,2,2,936,0,12,16,7,Matches
1554,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,23,1995,20.2,1448,1410,38,32,3,161,25,0,0,0,0,0,1264,97,87,170,1234,24,6,4,1371,1,15,8,8,Matches
1555,Omar Marmoush\Omar-Marmoush,eg EGY,MFFW,Wolfsburg,de Bundesliga,20,1999,0.9,16,16,0,0,0,8,0,1,0,0,0,0,10,6,0,0,13,3,0,0,10,0,0,1,1,Matches
